motore,simbolo,tf,etichetta,cartella,vicino,is_passate,is_uniche,is_pf_med,is_pf_max,is_trades_med,is_trades_max,is_dd_med,is_profit_med,is_dd_max,is_profit_max,oos_passate,oos_uniche,oos_pf_med,oos_pf_max,oos_trades_med,oos_trades_max,oos_dd_med,oos_profit_med,oos_dd_max,oos_profit_max,unica_passate,unica_uniche,unica_pf_med,unica_pf_max,unica_trades_med,unica_trades_max,unica_dd_med,unica_profit_med,unica_dd_max,unica_profit_max,file
SupertrendInvert,XAGUSD,M15,ohlc,backtest_pipeline/risultati_prove/ABTG_SupertrendInvert,no,,,,,,,,,,,1,1,1357.0,1357.0,2,2,0.386,40.68,0.386,40.68,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_SupertrendInvert/ABTG_SupertrendInvert_XAGUSD_OOS_ohlc.csv
SupertrendInvert,USDJPY,M15,ohlc,backtest_pipeline/risultati_prove/ABTG_SupertrendInvert,no,1,1,108.58571,108.58571,2,2,0.7002,75.31,0.7002,75.31,1,1,189.23684,189.23684,2,2,1.0841,214.59,1.0841,214.59,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_SupertrendInvert/ABTG_SupertrendInvert_USDJPY_IS_ohlc.csv;backtest_pipeline/risultati_prove/ABTG_SupertrendInvert/ABTG_SupertrendInvert_USDJPY_OOS_ohlc.csv
SupertrendInvert,USDJPY,M15,ABTG_SupertrendInvert,backtest_pipeline/risultati_prove/ABTG_SupertrendInvert,no,1,1,98.14286,98.14286,2,2,0.6042,68.0,0.6042,68.0,1,1,183.75439,183.75439,2,2,1.0323,208.34,1.0323,208.34,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_SupertrendInvert/ABTG_SupertrendInvert_USDJPY_IS.csv;backtest_pipeline/risultati_prove/ABTG_SupertrendInvert/ABTG_SupertrendInvert_USDJPY_OOS.csv
GapFill,GBPUSD,H1,r36,backtest_pipeline/risultati_prove/ABTG_GapFill/r36,no,3,3,1.19574,1.64403,3,3,1.3988,19.4,1.3988,63.83,3,3,5.02646,62.77165,8,7,2.4203,410.86,0.9224,235.35,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_GBPUSD_IS_r36.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_GBPUSD_OOS_r36.csv
GapFill,GBPUSD,H1,r37,backtest_pipeline/risultati_prove/ABTG_GapFill/r37,no,2,1,1.62,1.62,3,3,1.4359,631.74,1.4359,631.74,2,1,4.94024,4.94024,8,8,2.4871,4131.81,2.4871,4131.81,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r37/ABTG_GapFill_GBPUSD_IS_r37.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r37/ABTG_GapFill_GBPUSD_OOS_r37.csv
BreakingBand,EURUSD,H1,r34,backtest_pipeline/risultati_prove/ABTG_BreakingBand/r34,no,2,1,53.79058,53.79058,4,4,0.7797,1457.02,0.7797,1457.02,2,1,3.86266,3.86266,13,13,1.2722,2069.82,1.2722,2069.82,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_BreakingBand/r34/ABTG_BreakingBand_EURUSD_IS_r34.csv;backtest_pipeline/risultati_prove/ABTG_BreakingBand/r34/ABTG_BreakingBand_EURUSD_OOS_r34.csv
GoldenCross,USDCAD,[NON MISURATO],r87acad,backtest_pipeline/risultati_archivio/r86_r87_r89_csv,no,2,1,1.50814,1.50814,12,12,2.8033,143.19,2.8033,143.19,2,1,3.67553,3.67553,14,14,1.3995,280.85,1.3995,280.85,,,,,,,,,,,backtest_pipeline/risultati_archivio/r86_r87_r89_csv/ABTG_GoldenCross_USDCAD_IS_r87acad.csv;backtest_pipeline/risultati_archivio/r86_r87_r89_csv/ABTG_GoldenCross_USDCAD_OOS_r87acad.csv
larry,GBPAUD,H1,notte,backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte,no,3,3,0.52592,0.77324,21,13,5.5914,-359.46,2.9614,-112.9,3,3,3.04043,9.71485,31,19,4.542,983.55,1.2936,820.59,12,12,1.12203,2.57501,75,43,8.0805,352.08,2.6436,894.89,backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte/scan_larry_GBPAUD.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte/wf_larry_GBPAUD_IS.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte/wf_larry_GBPAUD_OOS.csv
GapFill,AUDUSD,H1,r37,backtest_pipeline/risultati_prove/ABTG_GapFill/r37,no,2,1,1.33963,1.33963,5,5,1.3003,689.06,1.3003,689.06,2,1,2.9335,2.9335,12,12,1.8735,4152.87,1.8735,4152.87,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r37/ABTG_GapFill_AUDUSD_IS_r37.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r37/ABTG_GapFill_AUDUSD_OOS_r37.csv
GoldenCross_V1,USDCAD,[NON MISURATO],r87acadv1,backtest_pipeline/risultati_archivio/r86_r87_r89_csv,no,2,1,3.51903,3.51903,10,10,1.2821,287.27,1.2821,287.27,2,1,2.89364,2.89364,12,12,1.2674,197.98,1.2674,197.98,,,,,,,,,,,backtest_pipeline/risultati_archivio/r86_r87_r89_csv/ABTG_GoldenCross_V1_USDCAD_IS_r87acadv1.csv;backtest_pipeline/risultati_archivio/r86_r87_r89_csv/ABTG_GoldenCross_V1_USDCAD_OOS_r87acadv1.csv
GapFill,AUDUSD,H1,r36,backtest_pipeline/risultati_prove/ABTG_GapFill/r36,no,3,3,0.99104,1.34399,5,5,1.2887,-1.8,1.2855,69.1,3,3,2.89007,3.71561,12,8,1.8616,402.51,1.347,289.62,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_AUDUSD_IS_r36.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_AUDUSD_OOS_r36.csv
GapFill,EURUSD,H1,r37,backtest_pipeline/risultati_prove/ABTG_GapFill/r37,no,2,1,1.61212,1.61212,5,5,1.8431,624.83,1.8431,624.83,2,1,2.77558,2.77558,9,9,1.5456,1935.26,1.5456,1935.26,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r37/ABTG_GapFill_EURUSD_IS_r37.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r37/ABTG_GapFill_EURUSD_OOS_r37.csv
BreakingBand,AUDUSD,H1,r91c,backtest_pipeline/risultati_archivio/r91_csv,no,3,3,134.23567,176.36842,2,1,0.5247,1045.9,0.4418,833.0,2,2,2.74743,56.88197,11,5,1.2695,1840.67,0.9249,1443.99,,,,,,,,,,,backtest_pipeline/risultati_archivio/r91_csv/ABTG_BreakingBand_AUDUSD_IS_r91c.csv;backtest_pipeline/risultati_archivio/r91_csv/ABTG_BreakingBand_AUDUSD_OOS_r91c.csv
BreakingBand,AUDUSD,H1,r34,backtest_pipeline/risultati_prove/ABTG_BreakingBand/r34,no,2,1,47.99127,47.99127,5,5,0.6753,1291.32,0.6753,1291.32,2,1,2.74743,2.74743,11,11,1.2695,1840.67,1.2695,1840.67,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_BreakingBand/r34/ABTG_BreakingBand_AUDUSD_IS_r34.csv;backtest_pipeline/risultati_prove/ABTG_BreakingBand/r34/ABTG_BreakingBand_AUDUSD_OOS_r34.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_r81c,backtest_pipeline/risultati_archivio/r81_csv,no,2,1,2.92019,2.92019,20,20,4.0891,10679.92,4.0891,10679.92,2,1,2.69515,2.69515,22,22,3.7338,11217.82,3.7338,11217.82,,,,,,,,,,,backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_r81c.csv;backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_r81c.csv
PunteLarry,XAUUSD,H1,r39,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39,no,2,1,1.24547,1.24547,5,5,1.3032,368.52,1.3032,368.52,2,1,2.6595,2.6595,11,11,2.3737,5264.81,2.3737,5264.81,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_XAUUSD_IS_r39.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_XAUUSD_OOS_r39.csv
GapFill,EURUSD,H1,r36,backtest_pipeline/risultati_prove/ABTG_GapFill/r36,no,3,3,0.88192,1.62832,5,5,1.7851,-23.33,1.7851,62.16,3,3,2.65717,2.74043,10,9,2.7109,346.58,1.5391,188.61,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_EURUSD_IS_r36.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_EURUSD_OOS_r36.csv
MaxMinNotte,XAUUSD,[NON MISURATO],r19,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte,no,2,1,1.42495,1.42495,59,59,2.6837,3788.45,2.6837,3788.45,2,1,2.45189,2.45189,92,92,4.2436,15848.75,4.2436,15848.75,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte/ABTG_MaxMinNotte_XAUUSD_IS_r19.csv;backtest_pipeline/risultati_prove/ABTG_MaxMinNotte/ABTG_MaxMinNotte_XAUUSD_OOS_r19.csv
MaxMinNotte,XAUUSD,[NON MISURATO],r19b,backtest_pipeline/risultati_prove/MaxMin_Oro_r19,no,2,1,1.42495,1.42495,59,59,2.6837,3788.45,2.6837,3788.45,2,1,2.45189,2.45189,92,92,4.2436,15848.75,4.2436,15848.75,,,,,,,,,,,backtest_pipeline/risultati_prove/MaxMin_Oro_r19/ABTG_MaxMinNotte_XAUUSD_IS_r19b.csv;backtest_pipeline/risultati_prove/MaxMin_Oro_r19/ABTG_MaxMinNotte_XAUUSD_OOS_r19b.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_ohlc,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato,no,2,1,2.05815,2.05815,20,20,3.0098,536.99,3.0098,536.99,2,1,2.44161,2.44161,21,21,2.2476,728.23,2.2476,728.23,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_ohlc.csv;backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_ohlc.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_r81b,backtest_pipeline/risultati_archivio/r81_csv,no,2,1,2.3796,2.3796,13,13,7.0155,11683.08,7.0155,11683.08,2,1,2.20206,2.20206,14,14,6.1401,10889.41,6.1401,10889.41,,,,,,,,,,,backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_r81b.csv;backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_r81b.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato,no,2,1,1.92148,1.92148,20,20,3.0687,477.51,3.0687,477.51,2,1,2.1922,2.1922,21,21,1.8768,618.31,1.8768,618.31,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS.csv;backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS.csv
GoldenCross_V1,USDCHF,[NON MISURATO],r87achfv1,backtest_pipeline/risultati_archivio/r86_r87_r89_csv,no,2,1,3.62765,3.62765,20,20,1.5584,465.54,1.5584,465.54,2,1,2.18837,2.18837,17,17,2.3377,229.57,2.3377,229.57,,,,,,,,,,,backtest_pipeline/risultati_archivio/r86_r87_r89_csv/ABTG_GoldenCross_V1_USDCHF_IS_r87achfv1.csv;backtest_pipeline/risultati_archivio/r86_r87_r89_csv/ABTG_GoldenCross_V1_USDCHF_OOS_r87achfv1.csv
Live5m,NASDAQ,[NON MISURATO],NASUSD_ohlc,backtest_pipeline/risultati_prove/ABTG_Nasdaq_Live5m,SI,2,1,1.36567,1.36567,125,125,8.0081,2403.74,8.0081,2403.74,2,1,2.16249,2.16249,198,198,7.3108,8943.56,7.3108,8943.56,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_Nasdaq_Live5m/ABTG_Nasdaq_Live5m_NASUSD_IS_ohlc.csv;backtest_pipeline/risultati_prove/ABTG_Nasdaq_Live5m/ABTG_Nasdaq_Live5m_NASUSD_OOS_ohlc.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_r81a,backtest_pipeline/risultati_archivio/r81_csv,no,2,1,1.87803,1.87803,20,20,3.0977,4766.96,3.0977,4766.96,2,1,2.15985,2.15985,21,21,1.9213,6143.38,1.9213,6143.38,,,,,,,,,,,backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_r81a.csv;backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_r81a.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_ptb,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato,no,2,1,1.87803,1.87803,20,20,3.0977,4766.96,3.0977,4766.96,2,1,2.15985,2.15985,21,21,1.9213,6143.38,1.9213,6143.38,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_ptb.csv;backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_ptb.csv
PunteLarry,GBPJPY,H1,r39,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39,no,2,1,1.27443,1.27443,18,18,3.3176,1939.97,3.3176,1939.97,2,1,2.05102,2.05102,20,20,2.8354,6637.29,2.8354,6637.29,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_GBPJPY_IS_r39.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_GBPJPY_OOS_r39.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_r2,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato,no,5,5,1.92148,1.96429,20,19,3.0687,477.51,3.182,488.79,5,5,2.00736,2.6796,20,19,2.2338,515.72,2.3817,699.3,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_r2.csv;backtest_pipeline/risultati_prove/ABTG_MaxMinNotte_DAX_Short_Ottimizzato/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_r2.csv
GapFill,F40EUR,H1,r36,backtest_pipeline/risultati_prove/ABTG_GapFill/r36,no,3,3,0.30589,0.45662,13,14,7.1671,-508.6,7.1654,-398.92,3,3,1.9576,2.37618,21,21,2.8338,563.95,2.6084,824.72,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_F40EUR_IS_r36.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_F40EUR_OOS_r36.csv
Apertura,NASDAQ,[NON MISURATO],US_NASUSD_gapnas,backtest_pipeline/risultati_archivio/GapFill_Nasdaq,no,24,6,2.00043,2.30098,39,23,4.4098,11033.88,4.3146,8911.34,24,8,1.9542,2.87054,19,16,3.9044,5915.09,2.9206,7752.81,,,,,,,,,,,backtest_pipeline/risultati_archivio/GapFill_Nasdaq/ABTG_Nasdaq_Apertura_US_NASUSD_IS_gapnas.csv;backtest_pipeline/risultati_archivio/GapFill_Nasdaq/ABTG_Nasdaq_Apertura_US_NASUSD_OOS_gapnas.csv
EMA200,U30USD,H1,02_short,backtest_pipeline/prove/R110_CSV_EMADOW,SI,2,1,1.23153,1.23153,125,125,4.5113,2607.38,4.5113,2607.38,2,1,1.89147,1.89147,302,302,2.6628,16948.35,2.6628,16948.35,,,,,,,,,,,backtest_pipeline/prove/R110_CSV_EMADOW/ABTG_EMA200_U30USD_IS_02_short.csv;backtest_pipeline/prove/R110_CSV_EMADOW/ABTG_EMA200_U30USD_OOS_02_short.csv
EMA200,U30USD,H1,01_short_r1,backtest_pipeline/risultati_archivio/R112_CORSA_20260826,SI,2,1,1.23153,1.23153,125,125,4.5113,2607.38,4.5113,2607.38,2,1,1.89147,1.89147,302,302,2.6628,16948.35,2.6628,16948.35,,,,,,,,,,,backtest_pipeline/risultati_archivio/R112_CORSA_20260826/ABTG_EMA200_U30USD_IS_01_short_r1.csv;backtest_pipeline/risultati_archivio/R112_CORSA_20260826/ABTG_EMA200_U30USD_OOS_01_short_r1.csv
EMA200,U30USD,H1,01_short_r1,backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826,SI,2,1,1.23153,1.23153,125,125,4.5113,2607.38,4.5113,2607.38,2,1,1.89147,1.89147,302,302,2.6628,16948.35,2.6628,16948.35,,,,,,,,,,,backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826/ABTG_EMA200_U30USD_IS_01_short_r1.csv;backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826/ABTG_EMA200_U30USD_OOS_01_short_r1.csv
EMA200,U30USD,H1,02_short_r2,backtest_pipeline/risultati_archivio/R112_CORSA_20260826,SI,2,1,1.22215,1.22215,127,127,8.9027,5074.8,8.9027,5074.8,2,1,1.88553,1.88553,315,315,5.2951,36527.24,5.2951,36527.24,,,,,,,,,,,backtest_pipeline/risultati_archivio/R112_CORSA_20260826/ABTG_EMA200_U30USD_IS_02_short_r2.csv;backtest_pipeline/risultati_archivio/R112_CORSA_20260826/ABTG_EMA200_U30USD_OOS_02_short_r2.csv
EMA200,U30USD,H1,02_short_r2,backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826,SI,2,1,1.22215,1.22215,127,127,8.9027,5074.8,8.9027,5074.8,2,1,1.88553,1.88553,315,315,5.2951,36527.24,5.2951,36527.24,,,,,,,,,,,backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826/ABTG_EMA200_U30USD_IS_02_short_r2.csv;backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826/ABTG_EMA200_U30USD_OOS_02_short_r2.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_r81f,backtest_pipeline/risultati_archivio/r81_csv,no,2,1,1.16955,1.16955,13,13,7.0155,1406.26,7.0155,1406.26,2,1,1.87505,1.87505,14,14,4.0753,6618.31,4.0753,6618.31,,,,,,,,,,,backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_r81f.csv;backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_r81f.csv
EMA200,U30USD,H1,03_short_r3,backtest_pipeline/risultati_archivio/R112_CORSA_20260826,SI,2,1,1.21478,1.21478,128,128,13.1661,7433.74,13.1661,7433.74,2,1,1.87295,1.87295,324,324,7.9161,58567.1,7.9161,58567.1,,,,,,,,,,,backtest_pipeline/risultati_archivio/R112_CORSA_20260826/ABTG_EMA200_U30USD_IS_03_short_r3.csv;backtest_pipeline/risultati_archivio/R112_CORSA_20260826/ABTG_EMA200_U30USD_OOS_03_short_r3.csv
EMA200,U30USD,H1,03_short_r3,backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826,SI,2,1,1.21478,1.21478,128,128,13.1661,7433.74,13.1661,7433.74,2,1,1.87295,1.87295,324,324,7.9161,58567.1,7.9161,58567.1,,,,,,,,,,,backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826/ABTG_EMA200_U30USD_IS_03_short_r3.csv;backtest_pipeline/risultati_archivio/R112_PARZIALE_20260826/ABTG_EMA200_U30USD_OOS_03_short_r3.csv
PunteLarry,GBPUSD,H1,r39,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39,no,2,1,1.96588,1.96588,11,11,1.6328,2017.64,1.6328,2017.64,2,1,1.85388,1.85388,25,25,5.2442,4595.93,5.2442,4595.93,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_GBPUSD_IS_r39.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_GBPUSD_OOS_r39.csv
SuperWave,GBPUSD,H2,r23e,backtest_pipeline/risultati_prove/ABTG_SuperWave,no,2,1,1.83304,1.83304,30,30,1.8107,1839.25,1.8107,1839.25,2,1,1.83739,1.83739,63,63,2.2947,3559.59,2.2947,3559.59,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_SuperWave/ABTG_SuperWave_GBPUSD_IS_r23e.csv;backtest_pipeline/risultati_prove/ABTG_SuperWave/ABTG_SuperWave_GBPUSD_OOS_r23e.csv
PunteLarry,U30USD,H1,r39,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39,no,2,1,1.72368,1.72368,16,16,1.7808,3587.33,1.7808,3587.33,2,1,1.8104,1.8104,38,38,3.8711,11097.09,3.8711,11097.09,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_U30USD_IS_r39.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_U30USD_OOS_r39.csv
GapFill,UKOIL,H1,r36,backtest_pipeline/risultati_prove/ABTG_GapFill/r36,no,3,3,0.78669,0.93531,8,8,1.8919,-71.65,2.0293,-21.73,3,3,1.79428,1.98274,18,18,3.6071,367.33,3.5621,503.2,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_UKOIL_IS_r36.csv;backtest_pipeline/risultati_prove/ABTG_GapFill/r36/ABTG_GapFill_UKOIL_OOS_r36.csv
MaxMinNotte,XAUUSD,[NON MISURATO],r17,backtest_pipeline/risultati_prove/MaxMin_Oro_r17,no,20,20,1.11998,2.43465,51,50,3.0485,107.39,1.5947,465.86,20,20,1.78824,2.2664,79,89,4.6301,898.66,3.3076,1262.87,,,,,,,,,,,backtest_pipeline/risultati_prove/MaxMin_Oro_r17/ABTG_MaxMinNotte_XAUUSD_IS_r17.csv;backtest_pipeline/risultati_prove/MaxMin_Oro_r17/ABTG_MaxMinNotte_XAUUSD_OOS_r17.csv
MaxMinNotte,DAX,[NON MISURATO],Short_Ottimizzato_D30EUR_r81d,backtest_pipeline/risultati_archivio/r81_csv,no,2,1,2.17327,2.17327,20,20,3.2509,6407.83,3.2509,6407.83,2,1,1.78521,1.78521,21,21,2.4583,4942.02,2.4583,4942.02,,,,,,,,,,,backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_IS_r81d.csv;backtest_pipeline/risultati_archivio/r81_csv/ABTG_MaxMinNotte_DAX_Short_Ottimizzato_D30EUR_OOS_r81d.csv
larry,U30USD,H1,notte,backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte,no,3,3,1.17944,1.25539,8,16,2.8709,37.88,4.6079,152.13,3,3,1.7835,2.10223,38,29,3.8678,884.01,3.5118,782.32,12,12,1.11853,3.27126,27,43,3.7698,123.58,2.753,1216.51,backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte/scan_larry_U30USD.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte/wf_larry_U30USD_IS.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/notte/wf_larry_U30USD_OOS.csv
WOL,U30USD,MISTO(D1/H1/H12/H2/H3/H4/H6/H8/M15/M20/M30),ohlc,backtest_pipeline/risultati_prove/ABTG_WOL,no,,,,,,,,,,,11,11,1.77012,146.86667,32,6,1.8924,79.13,0.0967,21.88,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_WOL/ABTG_WOL_U30USD_OOS_ohlc.csv
Apertura,NASDAQ,[NON MISURATO],US_NASUSD_gapnas2,backtest_pipeline/risultati_archivio/GapFill_Nasdaq,no,18,10,2.18418,2.53613,34,25,4.358,10947.07,4.3056,10669.78,18,10,1.76852,2.00709,37,26,5.0783,7993.22,3.9066,7649.67,,,,,,,,,,,backtest_pipeline/risultati_archivio/GapFill_Nasdaq/ABTG_Nasdaq_Apertura_US_NASUSD_IS_gapnas2.csv;backtest_pipeline/risultati_archivio/GapFill_Nasdaq/ABTG_Nasdaq_Apertura_US_NASUSD_OOS_gapnas2.csv
BreakingBand,EURUSD,H1,r91b,backtest_pipeline/risultati_archivio/r91_csv,no,2,2,53.79058,56.06389,4,2,0.7797,1457.02,0.7797,792.92,3,3,1.76515,3.86266,4,13,1.1808,412.27,1.2722,2069.82,,,,,,,,,,,backtest_pipeline/risultati_archivio/r91_csv/ABTG_BreakingBand_EURUSD_IS_r91b.csv;backtest_pipeline/risultati_archivio/r91_csv/ABTG_BreakingBand_EURUSD_OOS_r91b.csv
SuperWave,U30USD,H2,r23d,backtest_pipeline/risultati_prove/ABTG_SuperWave,no,2,1,5.5706,5.5706,32,32,1.5549,5311.13,1.5549,5311.13,2,1,1.76179,1.76179,88,88,4.2745,4371.06,4.2745,4371.06,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_SuperWave/ABTG_SuperWave_U30USD_IS_r23d.csv;backtest_pipeline/risultati_prove/ABTG_SuperWave/ABTG_SuperWave_U30USD_OOS_r23d.csv
BreakingBand,GBPUSD,H1,r33,backtest_pipeline/risultati_prove/ABTG_BreakingBand/r33,no,3,3,2.73642,2.98155,13,9,1.6834,262.06,1.2039,217.0,3,3,1.74835,3.71865,26,13,3.4049,316.23,1.1915,298.29,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_BreakingBand/r33/ABTG_BreakingBand_GBPUSD_IS_r33.csv;backtest_pipeline/risultati_prove/ABTG_BreakingBand/r33/ABTG_BreakingBand_GBPUSD_OOS_r33.csv
PunteLarry,EURAUD,H1,r39,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39,no,2,1,2.13472,2.13472,20,20,3.0984,6633.84,3.0984,6633.84,2,1,1.74416,1.74416,33,33,3.8683,8583.54,3.8683,8583.54,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_EURAUD_IS_r39.csv;backtest_pipeline/risultati_prove/ABTG_PunteLarry/r39/ABTG_PunteLarry_EURAUD_OOS_r39.csv
CostToCost,EURJPY,H4,r41,backtest_pipeline/risultati_prove/ABTG_CostToCost/r41,no,2,1,1.01642,1.01642,48,48,9.9258,362.8,9.9258,362.8,2,1,1.74084,1.74084,64,64,9.4547,22252.2,9.4547,22252.2,,,,,,,,,,,backtest_pipeline/risultati_prove/ABTG_CostToCost/r41/ABTG_CostToCost_EURJPY_IS_r41.csv;backtest_pipeline/risultati_prove/ABTG_CostToCost/r41/ABTG_CostToCost_EURJPY_OOS_r41.csv
