Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpGapMinPoints,InpGapMinRR,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpMaxPosSimbolo,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpOCTimeframe,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailStartR,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpTrailFixedPts,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpUseVolRegime,InpVolAtrPeriod,InpVolLookback,InpVolLowPct,InpVolHighPct,InpVolLowOffMult,InpVolHighOffMult,InpVolLowSlMult,InpVolHighSlMult,InpVolHighSizeMult,InpUseSRFilter,InpSRProximityPts,InpSRUsePrevDay,InpSRUseRoundNumbers,InpSRRoundInterval,InpMagic,InpMaxSpread,InpVerbose
10,9392.54,361.25154,2.17886,2.06647,37.78525,4.3604,26,-1.0873,-2152,-2152.47,250,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
4,10856.52,301.57000,1.99201,2.36187,34.83990,4.4098,36,-1.0854,-2184,-2184.45,250,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
1,10856.52,301.57000,1.99201,2.36187,34.83990,4.4098,36,-1.0854,-2184,-2184.45,100,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
8,9392.54,361.25154,2.17886,2.06647,37.78525,4.3604,26,-1.0873,-2152,-2152.47,150,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
14,8911.34,387.44957,2.30098,2.00810,36.36589,4.3146,23,-1.0863,-1501,-1501.13,150,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
23,4501.32,236.91158,1.66148,1.01434,17.06212,4.3146,19,-1.0863,-1501,-1501.13,300,2.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
20,4501.32,236.91158,1.66148,1.01434,17.06212,4.3146,19,-1.0863,-1501,-1501.13,150,2.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
17,8911.34,387.44957,2.30098,2.00810,36.36589,4.3146,23,-1.0863,-1501,-1501.13,300,1.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
11,9392.54,361.25154,2.17886,2.06647,37.78525,4.3604,26,-1.0873,-2152,-2152.47,300,1.0,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
5,10856.52,301.57000,1.99201,2.36187,34.83990,4.4098,36,-1.0854,-2184,-2184.45,300,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
2,10856.52,301.57000,1.99201,2.36187,34.83990,4.4098,36,-1.0854,-2184,-2184.45,150,0.5,14,30,35,17,30,1,1,0,1,0,16385,60,200,0,120,1,1,0,0,0,0,30,0,1,0,14,200,16385,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,0.5,0,0,0,1,0,1,5,2,410,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,0,0,14,100,20,80,0.7,1.5,0.75,1.5,0.5,0,1500,1,1,10000,770201,0,1
