Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTP1_R,InpBEatR,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpRangeMinutes,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_ClosePct,InpBreakevenAtTP1,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
37,1444.28,2.70464,1.14989,1.65473,5.67088,7.4039,534,0.50,0.0,12000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
25,1701.08,3.16186,1.18023,1.96834,6.94911,7.3345,538,0.50,0.0,9000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
13,1406.41,2.54784,1.16094,1.56049,6.67904,7.8067,552,0.50,0.0,6000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
19,1380.53,2.72294,1.15953,1.54903,5.98487,7.8799,507,0.84,0.5,6000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
31,1750.18,3.40502,1.18657,2.04005,6.34583,7.3197,514,0.84,0.5,9000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
43,1600.93,3.12072,1.16508,2.06622,5.48024,6.4397,513,0.84,0.5,12000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
8,965.53,1.66471,1.16347,1.59819,7.72683,5.3738,580,0.33,1.0,3000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
2,1120.44,2.26352,1.15537,1.56541,6.96859,6.3750,495,0.67,0.0,3000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
20,1283.41,2.23981,1.18524,2.00126,7.74990,5.5760,573,0.33,1.0,6000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
32,1403.20,2.47478,1.19869,2.07688,7.69953,5.8615,567,0.33,1.0,9000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
14,1221.09,2.31706,1.13097,1.40562,5.12152,7.8761,527,0.67,0.0,6000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
26,1833.33,3.51213,1.17534,2.67066,6.27071,5.9889,522,0.67,0.0,9000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
38,1649.16,3.18986,1.15233,2.01786,5.26289,7.0861,517,0.67,0.0,12000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
44,1292.82,2.28011,1.18545,1.88052,7.02058,6.0250,567,0.33,1.0,12000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
3,1269.52,2.73603,1.16920,1.84486,7.58387,6.1441,464,0.84,0.0,3000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
9,1228.25,2.26614,1.18083,1.90235,8.35412,5.5664,542,0.50,1.0,3000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
21,1406.41,2.54784,1.16094,1.56049,6.67904,7.8067,552,0.50,1.0,6000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
15,1583.94,3.09363,1.15853,1.70395,6.08540,8.2916,512,0.84,0.0,6000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
33,1701.08,3.16186,1.18023,1.96834,6.94911,7.3345,538,0.50,1.0,9000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
45,1444.28,2.70464,1.14989,1.65473,5.67088,7.4039,534,0.50,1.0,12000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
39,2574.57,5.05809,1.21197,2.61187,7.08856,8.0053,509,0.84,0.0,12000,14,30,15,17,30,1,1,0,0,16385,60,200,120,1,1,0,0,0,0,30,0,0,150,1.5,1,1,50,16388,0,10,2.5,16385,0,0,SPXUSD,16385,14,100,0,15,1,0,1.5,14,50,1,1,2,1,2,0,100,50,0,abtg_news.csv,3,30,30,0,,1,0,500,0,0,1.5,20,0,20,1,1,770201,0,1
